ID;Word;English Trans.;POS;VAL_M;VAL_SD;VAL_N;ARO_M;ARO_SD;ARO_N;CON_M;CON_SD;CON_N;IMA_M;IMA_SD;IMA_N;AVA_M;AVA_SD;AVA_N;FAM_M;FAM_SD;FAM_N
573;exhibición;display;N;5.82;1.22;22;6.15;1.84;20;3.80;1.94;20;3.85;2.18;20;4.17;2.01;23;5.55;1.30;22
574;exigencia;requirement;N;4.38;1.69;21;6.23;1.66;22;3.40;1.85;20;1.77;1.45;22;4.45;1.90;20;5.19;2.04;21
575;exilio;exile;V N;2.82;1.68;22;5.95;2.46;20;3.76;2.07;21;4.10;1.81;21;3.50;2.37;22;4.55;1.79;22
576;éxito;success;N;8.30;0.82;23;6.70;2.74;20;2.45;1.50;20;3.60;1.50;20;5.41;1.53;22;5.95;1.43;20
577;explosión;explosion;N;1.59;1.10;22;8.25;1.21;20;5.10;1.37;20;5.45;1.57;20;5.61;1.75;23;5.59;1.44;22
578;explotación;exploitation;N;2.00;1.45;23;7.55;1.37;22;3.60;2.01;20;3.09;1.97;22;4.91;2.14;22;4.67;1.71;21
579;explotador;operator;N;1.85;1.42;20;7.15;1.93;20;3.38;1.72;21;2.73;1.55;22;2.95;1.81;22;4.73;1.45;22
580;éxtasis;ecstasy;N;6.29;2.22;21;7.55;1.47;22;4.41;1.76;22;3.41;1.92;22;4.25;2.22;20;5.00;1.67;21
581;extinción;extinction;N;2.33;1.76;24;5.48;2.38;21;3.65;1.81;20;2.32;1.49;22;3.80;1.99;20;5.20;2.07;20
582;extrañeza;strangeness;N;4.18;1.14;22;4.82;2.28;22;3.14;1.65;21;1.86;1.52;22;2.59;1.74;22;4.60;1.70;20
583;fábrica;factory;N;4.14;1.28;22;4.50;1.68;22;6.09;1.19;22;6.27;0.98;22;5.23;2.09;22;5.95;1.21;22
584;facha;facade;V N;3.05;1.53;22;6.81;1.72;21;3.55;1.68;22;4.15;1.53;20;5.00;1.84;20;4.82;1.62;22
585;facilidad;ease;N;6.65;1.61;23;4.20;2.80;20;2.45;1.36;20;2.45;1.15;20;3.59;1.74;22;6.25;1.29;20
586;facultad;faculty;V N;5.71;0.90;21;5.68;1.64;22;4.38;2.20;21;5.81;1.50;21;6.15;1.57;20;6.45;1.00;20
587;falda;skirt;N;6.04;1.07;28;4.17;2.27;23;6.00;1.02;22;6.86;0.36;21;5.81;1.08;21;6.64;0.73;22
588;falso;false;V A N;2.71;1.10;21;6.14;1.42;22;3.25;1.68;20;2.50;1.43;20;3.75;2.12;20;6.19;1.21;21
589;famosa;famous;A N;5.60;1.57;20;6.00;2.18;20;4.33;1.83;21;4.90;1.45;21;5.82;1.47;22;5.95;1.47;21
590;fantasía;fantasy;N;7.86;1.17;22;5.70;2.11;20;2.82;1.53;22;2.61;2.02;23;4.14;2.08;22;5.91;1.27;22
591;farmacéutica;pharmaceutical;N A;5.75;1.14;28;4.04;1.92;23;5.95;1.36;22;6.48;0.60;21;5.81;1.69;21;5.86;1.42;21
592;faro;lighthouse;N;5.60;1.05;20;3.05;1.77;21;6.70;0.92;20;6.86;0.36;21;5.59;1.92;22;4.90;1.37;21
593;fascinación;fascination;N;7.33;1.24;24;6.95;2.36;21;3.00;1.72;22;2.26;1.89;23;4.15;1.84;20;4.75;1.59;20
594;fascinante;fascinating;A;8.36;0.66;22;6.20;3.02;20;3.20;1.47;20;1.60;0.75;20;3.70;2.12;23;5.50;1.67;20
595;fatalidad;fatality;N;2.32;1.25;22;6.70;1.72;20;2.35;1.42;20;1.86;1.25;22;2.86;2.01;22;4.68;1.94;22
596;faz;face;N;4.91;0.29;22;3.45;1.68;22;3.10;2.07;21;2.17;1.77;23;2.32;2.03;22;3.35;1.79;20
597;fealdad;ugliness;N;3.14;1.32;22;5.25;2.15;20;3.36;2.04;22;3.81;1.83;21;3.77;2.33;22;3.76;1.87;21
598;fecha;date;V N;5.05;1.05;20;4.64;1.36;22;3.91;1.95;22;3.90;1.80;20;6.30;1.56;20;6.70;0.56;23
599;felicidad;happiness;N;8.83;0.49;23;5.30;3.74;20;2.85;1.87;20;4.00;1.98;23;5.95;1.56;22;6.75;0.72;20
600;feliz;happy;A;8.55;0.69;20;5.55;3.15;20;5.00;2.09;23;5.39;1.95;23;6.41;1.44;22;6.77;0.53;22
601;figura;figure;N V;5.14;0.76;28;3.83;2.10;23;2.50;1.65;22;5.38;1.63;21;4.29;2.24;21;5.00;1.45;21
602;firma;signature;N V;5.45;0.80;22;3.95;1.68;22;5.48;1.75;21;6.27;1.20;22;5.65;2.11;20;6.05;1.56;21
603;flamenco;flamenco;A N;5.86;1.24;21;4.19;2.16;21;4.95;1.36;20;5.85;1.69;20;5.00;1.92;20;4.86;1.73;22
604;foco;focus;N;4.86;1.01;21;4.86;2.03;22;4.86;1.52;22;6.00;1.56;20;5.00;2.51;20;4.85;1.90;20
605;follón;mess;N;3.67;1.77;21;6.50;1.93;20;3.61;1.83;23;4.61;2.19;23;5.86;1.39;22;5.95;0.97;21
606;forastero;outsider;A N;5.09;1.44;23;4.05;2.32;22;3.85;1.76;20;4.55;1.67;20;4.91;1.93;22;4.61;1.83;23
607;fortuna;fortune;N;7.09;1.57;22;5.70;1.87;20;2.62;1.50;21;4.40;1.43;20;4.55;1.93;20;4.90;1.97;20
608;fotógrafa;photographer;N;7.35;1.18;20;3.85;2.01;20;5.57;1.16;21;6.29;1.06;21;6.27;1.20;22;6.14;1.24;21
609;fotografía;photography;N;6.50;1.86;26;3.85;1.84;20;5.76;1.41;21;6.30;1.26;20;6.14;1.21;22;6.50;0.69;20
610;fotógrafo;photographer;N;6.45;1.32;20;4.05;2.38;22;6.59;0.67;22;6.64;0.79;22;6.13;1.52;23;5.95;1.36;20
611;fracaso;failure;V N;1.61;0.72;23;7.75;1.59;20;3.27;1.70;22;2.48;1.73;23;4.23;2.11;22;5.76;1.09;21
612;fracción;fraction;N;4.67;0.86;21;3.35;1.84;20;3.15;1.31;20;4.00;2.07;21;3.55;1.93;20;4.14;1.85;21
613;fragilidad;fragility;N;3.05;1.25;22;4.60;2.21;20;3.40;1.98;20;3.30;1.49;20;4.73;1.91;22;5.85;1.79;20
614;frialdad;chill;N;3.33;1.66;24;4.81;2.77;21;2.85;1.76;20;2.30;1.33;23;3.40;2.06;20;5.10;2.13;20
615;frustración;frustration;N;1.88;1.08;24;5.62;2.62;21;3.80;1.88;20;2.32;1.43;22;4.00;2.03;20;5.50;1.15;20
616;fruto;fruit;N;6.23;1.11;22;3.15;1.79;20;4.14;1.98;22;5.91;1.27;22;4.95;1.85;20;6.18;1.18;22
617;fuerte;strong;A N B;7.50;1.56;24;6.19;2.04;21;3.73;1.64;22;4.96;1.69;23;5.40;1.96;20;6.71;0.56;21
618;fuerza;force;V N;7.63;1.44;24;7.24;1.76;21;2.20;1.40;20;3.41;1.92;22;5.40;1.79;20;6.50;1.19;20
619;fugitivo;fugitive;A N;2.85;1.53;20;6.91;1.77;22;4.05;1.57;20;5.14;1.49;21;5.26;1.98;23;4.25;2.15;20
620;función;function;N;5.33;0.97;21;4.05;1.47;20;2.59;1.47;22;2.17;1.56;23;3.45;2.06;22;5.50;1.44;22
621;furgoneta;van;N;5.25;0.75;28;4.35;2.21;23;6.27;0.98;22;7.00;0.00;21;5.38;1.86;21;6.14;1.17;22
622;furia;fury;N;3.05;1.32;20;7.09;1.34;22;3.76;2.10;21;3.62;1.53;21;4.64;2.24;22;5.19;1.86;21
623;fusil;rifle;N;2.59;1.44;22;6.86;1.93;22;6.40;0.82;20;6.30;1.08;20;4.45;1.67;20;5.15;1.69;20
624;fútbol;football;N;5.32;2.15;22;6.00;2.25;20;6.64;0.73;22;6.32;0.89;22;6.17;1.40;24;6.65;0.93;20
625;futuro;future;A N;7.40;1.57;20;7.41;1.68;22;2.00;1.52;20;2.61;1.80;23;4.48;2.56;23;6.75;0.44;20
626;gabardina;raincoat;N;5.00;1.15;28;3.30;1.89;23;6.32;1.13;22;6.52;0.87;21;4.00;2.10;21;4.73;2.05;22
627;galardón;award;N;7.75;0.97;28;6.00;2.70;23;4.27;1.88;22;3.14;1.71;21;3.14;1.85;21;4.33;1.83;21
628;ganado;cattle;A N V;6.29;1.97;24;4.14;1.82;21;4.65;2.03;20;6.00;1.27;22;5.25;1.59;20;4.50;2.16;20
629;ganadora;winner;N;7.50;1.36;20;6.05;2.09;20;4.10;2.02;21;5.24;1.70;21;4.68;1.81;22;6.09;1.34;22
630;ganar;to win;V;7.58;1.35;24;7.10;2.45;21;4.14;1.70;22;3.45;1.67;20;6.15;1.18;20;6.52;0.81;21
631;gangrena;gangrene;N;2.40;1.47;20;6.36;2.22;22;5.39;1.88;23;4.26;2.42;23;2.68;2.08;22;3.70;2.36;20
632;garfio;hook;N;4.29;1.18;28;4.87;2.18;23;6.00;1.45;22;6.43;1.47;21;3.38;2.62;21;4.04;2.08;23
633;garganta;throat;N;4.55;1.15;20;3.95;1.94;22;6.35;0.93;20;6.14;0.89;22;5.09;2.09;22;6.40;0.82;20
634;garrote;club;N;3.15;1.73;20;6.30;1.63;20;5.05;1.77;21;4.32;2.42;22;3.05;2.30;22;3.20;2.02;20
635;gato;cat;N;5.76;1.70;21;4.10;1.97;21;6.38;1.16;21;7.00;0.00;23;6.40;1.14;20;6.62;1.16;21
636;gemido;groan;N V;5.27;2.10;22;7.10;2.02;20;4.50;1.54;22;3.86;2.14;22;5.38;1.91;24;5.77;1.45;22
637;género;genre;N;4.90;0.44;21;3.91;1.51;22;2.50;1.61;20;3.81;2.34;21;3.86;2.10;22;5.45;1.99;20
638;genialidad;genius;N;8.27;0.88;22;5.70;2.72;20;3.20;1.99;20;2.30;1.89;20;4.04;2.27;23;4.86;1.74;21
639;genio;genius;N;6.45;1.36;20;5.20;2.02;20;3.86;1.81;22;4.95;1.99;20;4.55;2.19;20;5.82;1.26;22
640;gente;people;N;6.48;1.40;21;5.41;2.42;22;3.10;2.15;20;6.60;0.68;20;6.20;1.40;20;6.85;0.49;20
641;gerente;manager;N;4.73;0.83;26;5.20;1.96;20;5.24;1.37;21;3.50;1.85;20;2.95;1.56;22;4.48;1.83;23
642;gestión;management;N;4.64;0.73;22;4.50;1.85;22;3.50;1.67;20;2.48;1.50;21;3.73;2.29;22;5.25;1.83;20
643;gimnasio;gym;N;5.50;1.95;22;6.10;2.27;20;6.20;0.83;20;6.87;0.34;23;5.75;1.96;24;6.77;0.53;22
644;gimnasta;gymnast;N;6.04;1.14;28;4.96;2.10;23;5.59;1.33;22;5.90;1.04;21;5.24;1.67;21;4.82;1.89;22
645;giro;rotation;V N A;4.86;0.73;21;4.82;1.92;22;4.30;1.56;20;4.18;1.71;22;4.00;2.23;22;6.45;1.05;20
646;globo;globe;N;6.17;1.37;23;3.60;2.16;20;5.77;1.51;22;6.48;1.21;21;6.50;1.19;22;5.57;1.33;21
647;gobernador;governor;N;3.45;1.64;20;5.45;1.84;22;6.23;0.81;22;5.71;1.62;21;4.55;2.26;22;5.45;1.47;22
648;goce;enjoyment;N V;7.10;1.37;21;6.77;1.15;22;3.09;1.77;22;2.77;1.69;22;4.55;2.11;22;4.65;2.25;20
649;golfista;golfer;N;5.10;1.21;20;4.00;1.65;20;5.48;1.75;21;5.95;1.53;22;4.68;2.21;22;5.30;1.82;23
650;golfo;gulf;N A;4.19;1.65;26;4.70;1.87;20;4.29;1.62;21;4.15;2.30;20;3.45;2.32;22;4.09;1.82;22
651;gota;drop;N;5.41;1.05;22;3.29;1.82;21;5.25;1.71;20;6.65;0.99;20;5.85;2.18;20;6.52;1.08;21
652;gozar;to enjoy;V;7.77;1.34;22;4.40;3.22;20;3.86;1.88;22;3.40;1.70;20;6.05;1.56;22;4.95;1.70;20
653;grado;degree;V N;5.39;1.23;23;4.27;1.55;22;3.10;1.55;20;1.91;1.48;22;4.18;2.40;22;5.62;1.20;21
654;graduada;graduate;A V;7.07;1.46;28;6.61;2.43;23;4.36;1.47;22;5.52;1.33;21;4.95;1.94;21;5.95;1.53;21
655;granjero;farmer;N;5.50;1.10;22;2.95;1.82;20;5.95;0.90;22;6.38;1.02;21;5.19;1.89;21;4.76;1.58;21
656;grano;grain;V N;3.70;1.45;20;4.77;2.11;22;4.68;1.73;22;6.52;0.73;23;5.20;1.88;20;6.23;1.07;22
657;grave;grave;V A;2.70;1.56;20;6.82;1.82;22;3.78;1.73;23;3.39;1.70;23;5.18;1.68;22;5.82;1.10;22
658;grieta;crack;N;3.00;1.23;22;4.85;1.98;20;6.14;0.71;22;6.85;0.37;20;3.88;2.42;24;4.75;1.80;20
659;guante;glove;N;5.15;0.81;20;3.95;1.79;22;6.14;1.39;22;6.86;0.36;21;5.91;1.74;22;6.62;0.59;21
660;guardería;nursery;N;6.55;1.54;20;4.43;2.31;21;6.20;0.83;20;6.35;1.14;20;5.60;1.79;20;5.33;1.93;21
661;guardián;guardian;N;5.29;1.46;28;4.91;1.98;23;3.82;1.44;22;4.10;2.23;21;3.29;1.62;21;4.36;1.81;22
662;guerrero;warrior;A N;3.65;1.60;20;6.23;2.18;22;5.70;1.30;20;5.45;1.32;20;4.26;2.14;23;5.55;1.47;22
663;guión;script;N;4.90;0.72;20;4.23;1.77;22;4.24;1.84;21;5.09;1.20;23;5.30;2.18;20;5.00;1.82;21
664;habilidad;skill;N;7.26;1.25;23;4.85;2.68;20;3.40;2.06;20;2.65;0.99;20;4.45;1.77;22;6.45;1.05;20
665;habitación;room;N;5.63;1.38;24;3.52;1.89;21;5.76;1.45;21;6.71;0.46;21;6.65;0.67;20;6.91;0.29;22
666;hábito;habit;N;5.32;0.95;22;4.00;1.85;22;2.82;1.53;22;3.25;1.80;20;4.27;2.37;22;5.50;1.14;22
667;hacha;ax;N V;3.91;1.95;23;6.05;2.04;20;6.50;0.89;20;6.55;1.00;20;4.36;2.70;22;5.05;1.96;20
668;hacienda;ranch;N;3.00;1.34;20;5.80;1.82;20;4.57;1.99;21;2.32;1.62;22;4.64;2.13;22;5.00;1.52;20
669;hada;fairy;N;6.27;1.49;22;4.20;2.46;20;4.68;1.91;22;5.59;1.82;22;4.50;2.32;24;4.33;1.85;21
670;hallazgo;finding;N;6.14;2.23;22;6.70;1.95;20;3.70;1.69;20;2.70;1.78;20;3.00;2.02;23;4.77;1.77;22
671;hechicero;sorcerer;A N;5.32;1.12;28;5.00;2.28;23;5.18;1.59;22;4.52;1.78;21;3.57;2.13;21;4.59;1.89;22
672;heno;hay;N;4.91;0.68;22;3.91;1.80;22;5.55;1.61;20;3.86;2.15;21;1.64;1.33;22;3.41;2.15;22
673;herido;wounded;A N V;2.05;1.40;21;6.91;1.80;22;5.04;1.52;23;6.52;0.73;23;5.68;1.89;22;5.43;1.94;21
674;hermana;sister;V N;7.75;1.48;20;3.60;1.90;20;5.05;1.77;21;5.36;2.24;22;5.91;1.69;22;6.67;0.86;21
675;heroína;heroin;N;3.85;2.48;20;6.15;2.08;20;5.14;1.64;22;4.23;2.16;22;5.20;1.58;20;5.59;1.68;22
676;heroísmo;heroism;N;6.41;1.56;22;6.15;1.69;20;3.05;1.56;22;3.25;1.62;20;3.67;2.08;24;3.45;1.99;22
677;herramienta;tool;N;5.25;1.21;20;4.40;1.90;20;3.29;1.95;21;5.64;1.56;22;5.09;1.74;22;5.67;1.62;21
678;hervir;to boil;V;4.52;0.75;21;4.45;1.92;22;5.50;1.28;20;4.86;1.90;21;5.86;1.67;22;6.05;1.50;21
679;hidalguía;nobility;N;4.90;0.54;21;3.60;1.88;20;4.17;1.85;23;1.57;0.84;23;1.64;1.43;22;1.85;1.23;20
680;hielo;ice;V N;5.05;1.53;22;4.30;1.78;20;6.50;0.74;22;6.50;0.74;22;5.86;1.64;22;6.64;0.95;22
681;hierro;iron;V N;4.81;0.81;21;4.77;1.31;22;5.86;1.21;22;5.91;1.38;22;4.82;2.11;22;5.86;1.49;22
682;hija;daughter;N;7.27;1.19;26;4.70;2.52;20;6.19;1.17;21;4.15;2.08;20;5.73;2.07;22;6.57;1.33;21
683;hijo;son;N;7.05;1.56;22;5.27;1.96;22;6.20;1.51;20;5.85;1.69;20;5.85;1.63;20;6.67;0.80;21
684;historia;history;N;5.95;1.20;21;4.32;1.81;22;2.64;1.43;22;2.14;1.28;22;5.18;2.50;22;6.38;0.74;21
685;hoguera;bonfire;N;5.50;1.95;22;3.70;2.56;20;6.40;0.68;20;6.65;0.78;23;5.77;1.77;22;5.38;1.96;21
686;hoja;sheet;N;5.05;0.86;21;3.14;1.55;22;5.70;1.08;20;6.62;1.12;21;6.10;1.55;20;6.57;0.98;21
687;homenaje;tribute;N;7.00;1.26;20;4.50;2.09;20;3.24;1.55;21;3.91;1.82;22;4.14;2.01;22;4.57;1.99;21
688;homicidio;homicide;N;1.27;0.70;22;7.80;1.24;20;4.65;2.03;20;4.25;2.40;20;4.04;2.16;23;4.73;1.52;22
689;honradez;honesty;N;7.50;1.19;22;3.50;2.37;20;3.05;1.94;21;1.68;1.21;22;3.92;1.89;24;4.75;1.74;20
690;horca;gallows;N;2.82;1.33;28;6.39;1.99;23;5.86;1.28;22;5.57;1.99;21;3.33;2.37;21;2.90;1.89;20
691;hormigueo;tingling;N;5.18;1.76;22;6.70;1.72;20;4.40;1.85;20;3.71;2.10;21;4.79;1.82;24;4.70;1.95;20
692;hormiguero;anthill;N;4.79;1.59;24;4.81;2.29;21;6.40;0.94;20;5.82;1.47;22;4.45;2.09;20;4.76;2.12;21
693;hornear;to bake;V;6.09;1.02;22;3.95;1.76;22;5.20;1.44;20;4.24;2.10;21;5.50;1.60;22;4.43;1.54;21
694;horquilla;hairpin;N;4.76;0.94;21;3.14;1.67;22;6.05;1.54;20;6.38;1.36;21;5.36;2.08;22;5.55;1.50;20
695;horror;horror;N;2.45;1.43;20;7.20;1.36;20;2.70;1.75;20;3.55;1.70;20;3.86;2.10;22;5.73;1.16;22
696;hotel;hotel;N;6.82;1.30;22;3.38;1.94;21;6.60;0.60;20;6.76;0.70;21;6.35;1.60;20;6.25;1.41;20
697;huérfano;orphan;A N;1.45;0.80;22;5.74;2.05;23;6.05;1.15;20;4.75;1.97;20;5.39;1.70;23;4.65;1.98;20
698;huerto;orchard;N;6.74;1.39;23;3.55;2.28;20;6.10;1.30;21;6.57;0.81;21;6.18;1.37;22;5.55;1.85;20
699;huevo;egg;N;5.00;0.73;20;3.65;1.57;20;6.57;0.68;21;6.91;0.29;22;5.91;1.51;22;6.81;0.68;21
700;humanidad;humanity;N;6.67;1.52;24;5.14;2.13;21;3.20;1.91;20;3.38;1.72;21;4.40;1.88;20;5.60;1.90;20
701;humanismo;humanism;N;7.39;1.41;23;4.50;2.20;22;2.29;1.23;21;1.74;0.86;23;3.45;2.15;22;4.24;0.83;21
702;humildad;humility;N;7.60;1.96;20;3.32;2.50;22;2.60;1.64;20;1.64;0.73;22;4.96;1.77;23;5.15;1.76;20
703;humillación;humiliation;N;1.32;0.48;22;7.30;1.84;20;2.59;1.33;22;3.38;1.77;21;4.21;2.26;24;5.09;1.69;22
704;huracán;hurricane;N;2.62;1.36;21;7.27;1.35;22;6.00;1.56;20;6.14;0.99;22;5.73;1.49;22;5.14;1.81;22
705;hurgar;poke;V;3.73;1.49;22;4.60;2.09;20;3.59;1.62;22;4.25;1.71;20;3.79;1.86;24;3.95;1.36;21
706;idealismo;idealism;N;6.00;1.41;23;4.05;2.13;22;2.81;1.83;21;1.45;0.80;22;3.32;1.86;22;3.71;1.87;21
707;iglesia;church;N;4.19;1.36;21;3.67;2.56;21;5.50;1.97;22;6.64;0.85;22;6.09;1.69;22;5.43;2.06;21
708;ilusión;illusion;N;7.55;1.19;20;5.95;2.46;22;2.30;1.17;20;2.55;1.44;22;5.50;2.09;20;6.55;0.74;22
709;imagen;image;N;6.42;1.47;24;4.10;1.64;21;3.05;1.93;20;4.90;2.02;20;5.20;1.96;20;6.80;0.52;20
710;imán;magnet;N;5.19;1.47;26;4.10;1.74;20;6.24;1.37;21;6.30;0.92;20;4.41;2.20;22;5.20;2.04;20
711;impermeable;waterproof;A N;5.21;1.45;28;3.65;1.90;23;4.59;1.97;22;5.29;2.15;21;5.24;1.87;21;5.86;0.83;22
712;importación;import;N;4.86;0.96;21;4.19;2.23;21;4.17;1.80;23;3.00;1.81;23;3.86;2.19;22;4.33;1.74;21
713;impotencia;impotence;N;2.27;1.12;22;7.75;1.41;20;3.45;1.77;22;2.67;1.39;21;5.45;1.68;22;5.33;1.39;21
714;impresionado;impressed;V ;5.95;1.10;20;6.10;1.55;20;4.83;1.75;23;3.96;1.80;23;5.27;2.23;22;5.91;1.56;23
715;impureza;impurity;N;3.46;1.50;24;5.10;1.92;21;3.27;1.78;22;2.50;1.95;22;2.50;2.04;20;3.76;1.55;21
716;incapacidad;disability;N;1.88;0.90;24;6.24;2.36;21;3.36;1.53;22;2.55;1.28;20;4.60;2.04;20;5.24;1.48;21
717;incendio;fire;V N;1.35;0.59;20;7.86;1.73;22;6.32;0.78;22;6.15;1.53;20;5.83;2.12;23;5.86;1.32;22
718;incentivo;incentive;V A N;7.00;1.55;21;6.30;1.56;20;3.83;1.30;23;2.87;1.91;23;2.55;1.99;22;4.91;1.77;22
719;incomodidad;discomfort;N;2.95;0.92;21;6.09;2.02;22;3.68;1.62;22;2.59;1.40;22;4.32;1.81;22;6.14;0.85;21
720;incremento;increase;V N;6.04;1.94;23;5.91;2.14;22;3.40;1.93;20;3.70;1.38;20;4.55;2.09;22;5.20;1.94;20
721;indecisión;indecision;N;2.95;1.05;22;6.40;2.01;20;3.45;1.74;22;2.76;1.79;21;4.41;1.89;22;5.65;1.42;20
722;indicio;indication;V N;4.86;0.94;22;5.05;1.73;20;2.40;1.67;20;2.24;1.22;21;2.59;1.99;22;4.33;1.59;21
723;indio;Indian;A N;5.10;1.02;20;3.75;1.83;20;5.52;1.29;21;6.32;1.13;22;5.00;2.45;20;4.75;2.15;20
724;industria;industry;N V;4.35;0.99;20;4.80;1.47;20;3.73;1.61;22;6.40;0.88;20;5.09;2.04;23;5.67;1.24;21
725;infanta;infanta;N;4.25;1.33;20;5.00;2.08;20;5.48;1.25;21;5.64;1.56;22;4.50;1.85;22;5.23;1.93;22
726;inferioridad;inferiority;N;2.15;1.18;20;6.23;2.20;22;2.50;1.19;22;2.80;1.40;20;3.70;2.27;23;5.10;1.81;21
727;infiel;unfaithful;A N;2.00;0.87;22;7.14;1.24;21;5.52;1.27;23;3.74;2.05;23;5.91;1.82;22;5.62;1.75;21
728;infinito;infinity;A N;5.91;1.31;23;4.70;2.68;20;2.41;2.20;22;2.36;2.01;22;2.95;2.24;22;5.67;1.56;21
729;inflación;inflation;N;3.42;1.41;24;4.33;2.13;21;3.20;1.54;20;1.86;1.55;22;2.85;2.06;20;3.40;1.79;20
730;información;information;N;5.88;1.19;24;5.00;1.87;21;2.40;1.67;20;2.27;1.39;22;5.10;1.97;20;6.55;1.15;20
731;informática;computing;N A;5.46;1.23;28;4.61;1.83;23;3.95;2.06;22;3.24;2.12;21;4.62;1.91;21;6.05;0.92;21
732;informe;report;V N A;3.92;1.02;26;5.75;2.07;20;3.48;1.47;21;5.20;1.96;20;4.14;2.21;22;6.55;0.86;22
733;ingrediente;ingredient;N;5.74;1.10;23;2.82;1.62;22;2.43;1.69;21;4.14;1.98;21;6.05;1.13;22;5.95;1.02;21
734;ingresar;sign;V;4.05;2.19;22;5.05;2.33;20;3.77;1.57;22;2.50;1.92;22;5.58;1.79;24;6.00;1.34;20
735;ingreso;entry;V N;5.05;2.46;22;5.40;2.28;20;3.65;1.50;20;2.86;1.91;22;5.50;1.89;24;6.05;1.67;20
736;inmensidad;immensity;N;6.59;1.68;22;4.40;2.58;20;1.95;1.19;20;2.76;1.87;21;3.50;1.99;22;4.90;1.37;21
737;innovación;innovation;N;7.38;1.06;24;6.52;2.27;21;3.45;2.11;22;3.05;1.83;21;3.80;2.02;20;5.00;1.38;20
738;inodoro;odorless;A N;4.00;0.90;28;4.26;2.03;23;6.00;1.20;22;6.71;0.78;21;4.33;2.39;21;4.50;1.74;22
739;inseguridad;insecurity;N;2.50;1.18;24;6.38;2.58;21;2.05;1.21;22;2.09;1.41;22;4.80;2.14;20;5.57;1.03;21
740;inseguro;insecure;A;3.00;1.34;20;5.65;1.95;20;4.00;1.49;20;2.60;1.19;20;3.85;2.03;20;5.70;1.82;23
741;insomnio;insomnia;N;2.65;1.53;20;7.05;2.38;22;5.18;1.76;22;3.18;1.82;22;5.26;2.16;23;5.30;1.69;20
742;inspiración;inspiration;N;6.95;1.40;22;4.75;3.09;20;3.40;1.96;20;2.30;1.13;20;3.75;2.25;24;6.35;1.18;20
743;instancia;instance;N;4.45;1.39;20;4.90;1.48;20;2.57;1.40;21;2.13;1.39;23;1.77;1.23;22;4.05;1.84;22
744;instante;instant;N;5.18;1.18;22;4.20;2.21;20;2.85;1.66;20;1.30;0.47;20;3.22;2.24;23;5.50;1.34;22
745;institución;institution;N;4.57;1.36;21;4.23;1.80;22;2.64;1.33;22;3.70;1.84;23;4.27;2.31;22;4.90;1.45;20
746;instituto;institute;N;5.95;1.46;22;5.30;2.36;20;6.35;0.88;20;6.50;0.67;22;6.27;1.28;22;6.45;1.10;22
747;insulto;insult;V N;2.64;1.33;22;7.90;1.29;20;3.82;1.89;22;3.00;1.45;20;5.59;1.94;22;6.14;1.15;21
748;intelectual;intellectual;A N;6.95;1.43;22;4.15;2.41;20;4.60;2.04;20;2.45;1.47;20;4.87;1.69;23;5.05;1.53;21
749;intensidad;intensity;N;6.87;1.46;23;6.14;2.34;22;3.55;2.01;20;2.20;1.01;20;4.05;2.08;22;5.65;1.42;20
750;interrupción;interruption;N;3.25;1.25;20;6.09;1.93;22;2.95;1.39;20;2.77;1.57;22;4.96;2.14;23;5.50;1.43;20
751;intruso;intruder;V A N;3.15;1.04;20;6.95;1.53;22;4.91;1.80;22;3.55;1.70;20;4.64;1.84;22;4.55;1.96;20
752;inundación;flooding;N;2.45;1.15;20;6.45;1.60;22;5.70;0.98;20;5.91;1.06;22;5.55;1.64;20;5.77;1.60;22
753;inválido;invalid;A N;2.23;1.23;22;5.50;1.70;20;4.95;1.57;20;6.40;0.82;20;5.83;1.40;23;4.80;1.91;20
754;invasión;invasion;N;3.00;1.48;22;7.35;1.69;20;3.20;1.88;20;3.25;1.80;20;3.91;2.00;23;4.62;1.50;21
755;invernadero;emissions;N;5.46;1.69;24;3.38;1.63;21;6.09;0.81;22;6.85;0.37;20;4.50;1.93;20;4.35;2.06;20
756;investigadora;researcher;N;6.55;1.39;20;4.95;1.67;20;4.52;1.50;21;5.52;1.60;21;5.50;1.54;22;5.30;1.63;20
757;invitada;invited;N V;6.30;1.38;20;5.20;2.21;20;3.71;1.65;21;4.76;1.64;21;4.55;2.02;22;5.76;1.84;21
758;inyección;injection;N;3.59;1.68;22;6.77;1.66;22;5.27;1.32;22;6.30;1.38;20;5.83;1.47;23;5.45;1.68;22
759;irritación;irritation;N;2.18;1.26;22;7.70;1.22;20;3.48;1.44;21;4.00;1.88;23;4.79;2.00;24;5.14;1.70;22
760;jabón;soap;N;6.00;1.38;24;3.14;2.01;21;6.05;0.67;21;6.75;0.44;20;6.45;0.69;20;6.68;0.57;22
761;jarra;jar;N V;5.22;0.60;23;3.70;1.84;20;6.10;1.45;21;6.64;0.58;22;5.82;1.56;22;6.41;1.05;22
762;jefe;boss;N;4.38;1.24;21;5.19;2.48;21;5.50;1.54;22;5.14;1.70;22;5.14;1.86;22;6.32;1.09;22
763;jerarquía;hierarchy;N;4.38;1.16;21;4.95;2.15;22;3.65;1.93;20;4.10;1.33;20;3.59;2.04;22;4.25;1.83;20
